province,year,urban_rural_income_ratio,gdp_per_capita,urban_income,rural_income,urbanization_rate,tertiary_share,fiscal_expenditure_pc,fixed_investment_pc,retail_sales_pc,treated,post
福建,2010,2.347,5.0,1.98,0.85,57.0,41.2,0.744,3.2,2.03,0,0
福建,2011,2.305,5.17,2.05,0.89,58.2,43.0,0.813,2.78,2.12,0,0
福建,2012,2.21,5.85,2.33,1.06,59.5,42.2,0.898,3.26,2.31,0,0
福建,2013,2.223,6.19,2.65,1.19,60.5,43.2,0.902,3.87,2.32,0,0
福建,2014,2.148,6.75,2.99,1.39,61.5,44.6,1.033,3.86,2.75,0,0
福建,2015,2.104,7.31,2.98,1.42,63.0,44.5,1.053,4.26,2.91,0,0
福建,2016,2.072,8.06,3.35,1.62,64.2,44.1,1.145,5.19,3.08,0,0
福建,2017,1.972,8.4,3.19,1.62,65.0,46.6,1.159,4.53,3.56,0,0
福建,2018,1.95,9.05,3.66,1.88,66.2,45.9,1.406,5.71,3.54,0,0
福建,2019,1.93,10.17,3.59,1.86,67.9,46.6,1.454,6.42,4.19,0,0
福建,2020,1.808,10.75,3.75,2.07,68.4,47.9,1.689,7.17,4.38,0,0
福建,2021,1.833,11.35,3.68,2.0,69.6,47.7,1.86,6.89,4.26,0,1
福建,2022,1.772,11.89,3.94,2.23,70.9,48.3,1.854,8.18,4.45,0,1
福建,2023,1.722,12.45,4.14,2.4,72.0,48.9,1.969,8.05,4.68,0,1
福建,2024,1.69,13.12,4.350152284263959,2.5829596412556053,73.2,49.50745341614907,2.091133225458468,7.922066014669928,4.921887640449437,0,1
贵州,2010,3.111,2.03,2.66,0.85,41.6,48.2,0.311,1.13,0.73,0,0
贵州,2011,2.969,2.12,2.42,0.82,42.3,48.4,0.291,1.33,0.85,0,0
贵州,2012,2.959,2.41,2.94,0.99,43.5,48.3,0.364,1.33,0.94,0,0
贵州,2013,2.866,2.56,3.34,1.17,45.2,49.8,0.375,1.64,1.04,0,0
贵州,2014,2.774,2.69,3.32,1.2,45.7,49.7,0.4,1.38,1.09,0,0
贵州,2015,2.689,3.05,3.62,1.35,47.6,50.8,0.455,1.77,1.19,0,0
贵州,2016,2.705,3.19,4.23,1.57,47.9,49.7,0.466,1.68,1.25,0,0
贵州,2017,2.637,3.5,4.92,1.86,49.7,51.7,0.518,1.99,1.2,0,0
贵州,2018,2.576,3.75,4.86,1.89,50.8,52.4,0.559,2.27,1.58,0,0
贵州,2019,2.537,4.12,4.55,1.79,51.8,50.8,0.654,2.49,1.82,0,0
贵州,2020,2.416,4.43,4.4,1.82,53.3,52.6,0.658,2.37,1.82,0,0
贵州,2021,2.319,4.6,5.4,2.33,54.4,53.3,0.732,2.77,1.77,0,1
贵州,2022,2.309,4.8,5.1,2.21,55.7,53.6,0.712,2.83,1.9,0,1
贵州,2023,2.223,4.98,5.41,2.43,57.1,54.0,0.7,3.09,2.02,0,1
贵州,2024,2.18,5.28,5.738843137254902,2.6719004524886882,58.2,54.40298507462686,0.6882022471910112,3.373886925795053,2.147578947368421,0,1
辽宁,2010,2.436,2.71,1.9,0.78,60.1,46.9,0.425,1.75,1.19,0,0
辽宁,2011,2.444,2.81,2.15,0.88,62.0,47.8,0.397,1.82,1.17,0,0
辽宁,2012,2.337,3.02,2.45,1.05,62.2,48.4,0.496,1.84,1.12,0,0
辽宁,2013,2.314,3.22,2.53,1.09,63.8,48.2,0.523,2.21,1.29,0,0
辽宁,2014,2.259,3.58,2.83,1.25,65.1,48.8,0.521,2.24,1.3,0,0
辽宁,2015,2.195,3.97,2.95,1.34,65.6,49.9,0.566,2.18,1.57,0,0
辽宁,2016,2.138,4.26,3.4,1.59,67.3,50.3,0.619,2.36,1.78,0,0
辽宁,2017,2.137,4.36,3.67,1.72,68.7,51.3,0.644,2.23,1.8,0,0
辽宁,2018,2.045,4.94,3.42,1.67,69.9,50.0,0.722,3.15,2.03,0,0
辽宁,2019,2.033,5.35,3.97,1.96,71.1,52.8,0.794,3.05,2.06,0,0
辽宁,2020,1.995,5.73,4.1,2.05,72.6,53.0,0.959,3.57,2.17,0,0
辽宁,2021,1.891,5.99,4.15,2.2,73.6,53.9,0.892,3.52,2.47,0,1
辽宁,2022,1.877,6.21,4.22,2.25,74.5,52.4,1.001,4.03,2.68,0,1
辽宁,2023,1.78,6.82,4.2,2.36,76.3,52.7,1.016,3.99,2.75,0,1
辽宁,2024,1.73,7.15,4.180094786729859,2.4753777777777772,77.2,53.001717557251915,1.0312247752247752,3.9503970223325067,2.8218283582089554,0,1
陕西,2010,2.832,3.11,2.27,0.8,51.5,42.4,0.458,1.94,1.34,0,0
陕西,2011,2.731,3.42,2.48,0.91,52.1,42.8,0.521,1.76,1.32,0,0
陕西,2012,2.695,3.67,2.65,0.98,53.4,44.7,0.534,2.31,1.57,0,0
陕西,2013,2.665,3.84,2.99,1.12,54.8,44.1,0.56,2.55,1.45,0,0
陕西,2014,2.54,4.22,3.18,1.25,55.5,44.4,0.607,2.73,1.68,0,0
陕西,2015,2.515,4.34,3.08,1.23,57.0,44.6,0.646,2.68,1.66,0,0
陕西,2016,2.454,4.93,3.97,1.62,58.2,44.3,0.756,2.85,1.96,0,0
陕西,2017,2.437,5.4,3.8,1.56,59.4,46.0,0.742,3.51,2.33,0,0
陕西,2018,2.347,5.56,3.98,1.7,60.7,45.5,0.728,2.89,2.42,0,0
陕西,2019,2.353,6.24,3.8,1.61,62.0,46.5,0.924,4.16,2.45,0,0
陕西,2020,2.253,6.8,4.65,2.06,63.1,48.2,1.015,3.89,2.63,0,0
陕西,2021,2.179,7.0,4.46,2.05,64.7,48.8,1.032,4.59,2.69,0,1
陕西,2022,2.123,7.26,4.47,2.1,64.9,48.6,1.115,4.16,3.06,0,1
陕西,2023,2.091,7.8,5.07,2.42,66.6,48.4,1.181,4.43,3.02,0,1
陕西,2024,2.05,8.25,5.75053691275168,2.7887619047619046,67.8,48.200823045267484,1.2509067264573992,4.717524038461538,2.9805228758169933,0,1
青海,2010,2.796,2.37,2.35,0.84,46.7,47.1,0.348,1.43,0.95,0,0
青海,2011,2.715,2.59,2.52,0.93,47.4,47.6,0.379,1.9,1.08,0,0
青海,2012,2.651,2.73,2.78,1.05,48.9,47.1,0.424,1.53,1.08,0,0
青海,2013,2.612,3.09,3.21,1.23,49.9,48.9,0.468,1.82,1.35,0,0
青海,2014,2.614,3.2,3.2,1.23,51.3,48.9,0.449,1.95,1.24,0,0
青海,2015,2.533,3.53,3.32,1.31,52.2,49.3,0.544,1.95,1.34,0,0
青海,2016,2.456,3.68,3.61,1.47,53.3,49.7,0.532,2.19,1.47,0,0
青海,2017,2.448,4.2,3.84,1.57,55.1,49.9,0.608,2.88,1.61,0,0
青海,2018,2.351,4.57,4.07,1.73,55.8,51.3,0.676,2.75,1.98,0,0
青海,2019,2.267,4.89,4.21,1.86,56.6,51.1,0.695,3.07,2.09,0,0
青海,2020,2.191,5.21,4.42,2.02,58.0,52.5,0.729,2.88,2.22,0,0
青海,2021,2.179,5.39,4.72,2.17,59.9,52.2,0.806,2.98,1.97,0,1
青海,2022,2.13,5.74,4.47,2.1,60.4,53.9,0.843,3.57,2.44,0,1
青海,2023,2.03,5.87,4.54,2.24,62.8,53.7,0.812,3.65,2.43,0,1
青海,2024,1.98,6.15,4.611096196868009,2.3893333333333335,64.0,53.50074211502783,0.7821399762752077,3.7317927170868344,2.4200409836065577,0,1
黑龙江,2010,2.221,1.68,1.71,0.77,51.3,51.1,0.245,0.9,0.63,0,0
黑龙江,2011,2.192,1.83,2.03,0.92,52.2,51.7,0.278,0.99,0.75,0,0
黑龙江,2012,2.093,1.92,2.19,1.05,53.6,52.5,0.276,1.26,0.76,0,0
黑龙江,2013,2.102,2.2,2.43,1.16,55.5,51.6,0.315,1.24,0.82,0,0
黑龙江,2014,2.113,2.29,2.53,1.2,56.4,53.5,0.322,1.38,0.91,0,0
黑龙江,2015,2.038,2.54,2.74,1.34,57.2,54.1,0.384,1.59,0.93,0,0
黑龙江,2016,1.966,2.64,3.02,1.54,59.1,54.4,0.404,1.67,1.06,0,0
黑龙江,2017,1.925,2.79,3.15,1.64,60.1,54.8,0.48,1.79,1.06,0,0
黑龙江,2018,1.871,2.97,3.22,1.72,60.8,55.1,0.398,1.89,1.04,0,0
黑龙江,2019,1.818,3.35,3.56,1.96,61.8,55.7,0.516,2.09,1.35,0,0
黑龙江,2020,1.764,3.64,2.88,1.63,63.9,55.9,0.568,2.28,1.44,0,0
黑龙江,2021,1.735,3.7,3.89,2.24,64.9,57.3,0.549,1.99,1.42,0,1
黑龙江,2022,1.703,3.96,3.71,2.18,66.2,57.9,0.599,2.29,1.65,0,1
黑龙江,2023,1.643,4.3,3.69,2.24,67.4,58.4,0.588,2.36,1.73,0,1
黑龙江,2024,1.61,4.56,3.67010781671159,2.3016513761467894,68.5,58.90431778929188,0.5772020033388982,2.432139737991266,1.813878787878788,0,1
